ACCURACY,ALG_NAME,AUC,Average F-Score,PRESCISION,RECALL,RUNTIME,THRESHOLD
0.66,Word2Vector_ALL,0.7603473640295983,0.40101930538923564,0.5,0.76,7.932,0.3
0.83,Word2Vector_ALL,0.7986463342335814,0.4586851036659135,0.5,0.8,7.641,0.4
0.92,Word2Vector_ALL,0.7978644985429784,0.4912757497172604,0.51,0.8,7.619,0.498989
0.93,Word2Vector_ALL,0.7979931054168588,0.49187878808763685,0.51,0.8,7.607,0.50123
0.93,Word2Vector_ALL,0.7977445177399066,0.49422683671926065,0.51,0.8,7.648,0.51
0.95,Word2Vector_ALL,0.7898704834677432,0.5016770738506786,0.51,0.79,7.606,0.54
0.97,Word2Vector_ALL,0.753978971207744,0.5154796492677407,0.51,0.75,7.954,0.6
0.97,Word2Vector_ALL,0.7478819075222474,0.5179014466357076,0.51,0.75,7.698,0.61
0.98,Word2Vector_ALL,0.7417683758833882,0.5206804320158099,0.51,0.74,7.731,0.62
1.0,Word2Vector_ALL,0.6003361030862512,0.5700337060331929,0.55,0.6,7.726,0.8
